year,class,item,emirate,nationality,value
1992,3 star,nights,abu dhabi,Britan,1734
1992,2 star,guests,abu dhabi,Britan,0
1992,2 star,nights,abu dhabi,Britan,0
1992,5 star,guests,dubai,Britan,45059
1992,5 star,nights,dubai,Britan,142383
1992,4 star,guests,dubai,Britan,16373
1992,4star,nights,dubai,Britan,30981
1992,3 star,guests,dubai,Britan,2175
1992,3 star,nights,dubai,Britan,5191
1992,2 star,guests,dubai,Britan,642
1992,2 star,nights,dubai,Britan,1834
1992,5 star,guests,sharjah,Britan,5059
1992,5 star,nights,sharjah,Britan,13920
1992,4 star,guests,sharjah,Britan,1345
1992,4star,nights,sharjah,Britan,7769
1992,3 star,guests,sharjah,Britan,0
1992,3 star,nights,sharjah,Britan,0
1992,2 star,guests,sharjah,Britan,0
1992,2 star,nights,sharjah,Britan,0
1992,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1992,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1992,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1992,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1992,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1992,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1992,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1992,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1992,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1992,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1992,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1992,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1992,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1992,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1992,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1992,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1991,5 star,guests,abu dhabi,Britan,14726
1991,5 star,nights,abu dhabi,Britan,52918
1991,4 star,guests,abu dhabi,Britan,10245
1991,4star,nights,abu dhabi,Britan,74760
1991,3 star,guests,abu dhabi,Britan,427
1991,3 star,nights,abu dhabi,Britan,1489
1991,2 star,guests,abu dhabi,Britan,0
1991,2 star,nights,abu dhabi,Britan,0
1991,5 star,guests,dubai,Britan,44358
1991,5 star,nights,dubai,Britan,127640
1991,4 star,guests,dubai,Britan,8639
1991,4star,nights,dubai,Britan,24048
1991,3 star,guests,dubai,Britan,470
1991,3 star,nights,dubai,Britan,1281
1991,2 star,guests,dubai,Britan,863
1991,2 star,nights,dubai,Britan,1825
1991,5 star,guests,sharjah,Britan,3614
1991,5 star,nights,sharjah,Britan,10972
1991,4 star,guests,sharjah,Britan,1281
1991,4star,nights,sharjah,Britan,6039
1991,3 star,guests,sharjah,Britan,0
1991,3 star,nights,sharjah,Britan,0
1991,2 star,guests,sharjah,Britan,0
1991,2 star,nights,sharjah,Britan,0
1991,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1991,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1991,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1991,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1991,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1991,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1991,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1991,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1991,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1991,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1991,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1991,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1991,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1991,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1991,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1991,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
